Date,Close/Last,Volume,Open,High,Low,Day
12/20/2021,141.607,27192360,140,141.7745,139.321,460
12/21/2021,143.4725,28755360,142.0535,143.869,140.5025,461
12/22/2021,146.415,26322380,143.0675,146.5,143.0675,462
12/23/2021,146.9165,26383440,146.5,148.2435,146.452,463
12/27/2021,147.9065,15984460,147.256,148.344,147.1693,464
12/28/2021,146.687,18254300,148.236,148.299,146.0543,465
12/29/2021,146.655,17787460,146.6443,147.417,145.6475,466
12/30/2021,146.2005,15687720,146.694,147.3,145.9945,467
12/31/2021,144.852,18135180,146.05,146.6985,144.852,468
1/3/2022,144.9915,28678940,145.055,145.851,143.7128,469
1/4/2022,144.3995,28399440,145.396,146.4849,143.7163,470
1/5/2022,137.775,54618280,144.42,144.4994,137.688,471
1/6/2022,137.7475,37347420,136.9985,139.94,136.5585,472
1/7/2022,137.017,29760560,138.1455,138.4485,135.7665,473
1/10/2022,138.6695,44408120,135.078,138.8195,133.1645,474
1/11/2022,139.736,28729700,138.007,140.216,136.6923,475
1/12/2022,141.4305,26112040,141.15,142.6078,140.6945,476
1/13/2022,138.587,31436600,141.54,142.85,138.409,477
1/14/2022,139.4805,29661280,137.079,140.742,136.9985,478
1/18/2022,135.998,34888100,136.175,137.1315,135.4383,479
1/19/2022,135.1165,28647640,136.5235,137.9595,135.0155,480
1/20/2022,133.3075,29907140,136.25,137.626,132.9647,481
1/21/2022,130.3515,55651420,132.5935,134.8655,130.0865,482
1/24/2022,130.804,76694240,125.978,131.203,124.5,483
1/25/2022,126.935,46960560,128.74,129.399,126.5005,484
1/26/2022,129.233,49129500,131.119,133,127.142,485
1/27/2022,129.005,32018780,131.304,132.6523,128.9323,486
1/28/2022,133.351,34361480,129.659,133.3565,128.485,487
1/31/2022,135.3035,39986000,134.162,135.473,132.2095,488
2/1/2022,137.644,68643640,137.5945,137.7928,134.3685,489
2/2/2022,148,123199220,151.25,151.5466,145.5225,490
2/3/2022,143.09,71517220,145.7055,149.675,142.6653,491
2/4/2022,143.293,57998220,143.4447,144.875,140.515,492
2/7/2022,139.201,54973300,144.25,144.25,138.9,493
2/8/2022,139.399,54283600,139.0265,140,137.0139,494
2/9/2022,141.592,40143880,140.9635,142.5243,140.187,495
2/10/2022,138.62,39330660,139.7035,141.4845,137.957,496
2/11/2022,134.2825,39958340,138.6,139.1563,133.4,497
2/14/2022,135.526,34301080,133.2565,136.3,133.2565,498
2/15/2022,136.6085,26711260,137.5705,138.1085,135.8215,499
2/16/2022,137.738,25021300,136.6465,138.086,134.9238,500
2/17/2022,132.539,38949500,136.243,137.1135,132.4785,501
2/18/2022,130.403,45619440,133.467,134.07,130.1965,502
2/22/2022,129.8135,44990740,129.8381,132.1803,128.2233,503
2/23/2022,127.588,32786020,131.6485,132.051,127.5275,504
2/24/2022,132.691,54455080,124.9533,133,124.9533,505
2/25/2022,134.4595,36405980,133.552,135.2715,131.7515,506
